"Rank","Title","Status","Study Results","Conditions","Interventions","Locations","URL"
2235,"Longitudinal Study of Weight Change Following Lower Limb Amputation","Completed","Has Results","Amputation Wound|Traumatic Amputation of Toe|Dysvascular Amputation of Lower Limb",,"VA Puget Sound Health Care System Seattle Division, Seattle, WA, Seattle, Washington, United States","https://ClinicalTrials.gov/show/NCT00932399"
2236,"Accelerated Resolution Therapy for Complicated Grief","Recruiting","No Results Available","Grief|Depressive Symptoms|Trauma, Psychological","Behavioral: Accelerated Resolution Therapy","Harleah Buck, Tampa, Florida, United States","https://ClinicalTrials.gov/show/NCT03484338"
2237,"One-Day Life Skills Workshop for Veterans With TBI, Pain and Psychopathology","Completed","Has Results","Mild Traumatic Brain Injury|Distress-based Psychopathology|Chronic Pain","Behavioral: Acceptance and Commitment Therapy","Michael E. DeBakey VA Medical Center, Houston, TX, Houston, Texas, United States","https://ClinicalTrials.gov/show/NCT02844946"
2238,"Iwankapiya-Healing: Historical Trauma Practice and Group IPT for American Indians","Unknown status","No Results Available","Depression|Grief|PTSD|Interpersonal Relations","Behavioral: HTUG","University of New Mexico Department of Psychiatry Center for Rural and Community Behavioral Health, Albuquerque, New Mexico, United States","https://ClinicalTrials.gov/show/NCT02124694"
2239,"Evaluation of Spot Light: A Concussion Injury Management App for Youth Sports","Completed","No Results Available","TBI","Other: Spot Light Concussion App","Center for Injury Research and Policy, Nationwide Children's Hospital, Columbus, Ohio, United States","https://ClinicalTrials.gov/show/NCT02249533"
2240,"Trauma Survivors Outcomes and Support Study IV","Completed","Has Results","Posttraumatic Stress Disorder|Depression|Suicide|Traumatic Brain Injury|Alcohol Use|Drug Use","Behavioral: Stepped Care Management","Harborview Medical Center, Seattle, Washington, United States","https://ClinicalTrials.gov/show/NCT01625416"
2241,"Trauma-informed Collaborative Care for Low-income African Americans With PTSD","Recruiting","No Results Available","PTSD","Other: PTSD Care Management (PCM)|Other: Minimally Enhanced Usual Care (MEU)","EXCELth Family Health and Dental 70127New Orleans East, New Orleans, Louisiana, United States","https://ClinicalTrials.gov/show/NCT03591107"
2242,"AKI Prevention and Early Intervention in Patients Undergoing VAD Placement","Completed","No Results Available","Kidney Injury","Other: Clinical Recommendations","Mayo Clinic in Rochester, Rochester, Minnesota, United States","https://ClinicalTrials.gov/show/NCT03236831"
2243,"Supplemental Oxygen and the Risk of Surgical Site Infection","Completed","No Results Available","Surgical Site Infection","Other: Oxygen by mask","Santa clara Valley Medical Center, San Jose, California, United States","https://ClinicalTrials.gov/show/NCT00876005"
2244,"Comparing the Efficacy of Oral Opioids for Outpatient Acute Pain Management After ED Discharge Discharge","Completed","Has Results","Analgesia After ED Discharge for Extremity Injuries","Drug: Hydrocodone (first trial)|Drug: Codeine (first trial)|Drug: Oxycodone (for second trial)|Drug: Codeine (for second trial)|Drug: Oxycodone (third trial)|Drug: Hydrocodone (third trial)","Montefiore Medical Center, Bronx, New York, United States","https://ClinicalTrials.gov/show/NCT01402375"
2245,"Quantification of Balance in Acutely Concussed Athletes","Completed","No Results Available","mTBI|Concussion|Mild Traumatic Brain Injury",,"Oregon Health and Science University, Portland, Oregon, United States","https://ClinicalTrials.gov/show/NCT01661075"
2246,"Upper Extremity Post-op Splints: Do They Improve Post-operative Pain?","Recruiting","No Results Available","Extremity Injury","Procedure: Rigid Splint|Procedure: Soft Dressing","NYU Langone Health, New York, New York, United States","https://ClinicalTrials.gov/show/NCT03891966"
2247,"Effectiveness of a Driving Intervention on Safe Community Mobility for Returning Combat Veterans","Recruiting","No Results Available","Traumatic Brain Injury (TBI)|Post Traumatic Stress Disorder (PTSD)","Behavioral: Driving Behavior Interview|Other: Clinical Driving Assessment|Behavioral: Propensity for Angry Driving Scale|Behavioral: Community Integration Questionnaire|Behavioral: Satisfaction with Life|Behavioral: Fitness-to-Drive Screening Measure (FTDS)|Procedure: Simulated Driving Evaluation|Procedure: Driving Safety Education|Procedure: Occupational Therapy Driving Intervention (OT-DI)|Procedure: On-road driving test|Procedure: Driving triggers evaluation","Malcom Randall VA Medical Center, Gainesville, Florida, United States|University of Florida, Occupational Therapy Department, Gainesville, Florida, United States","https://ClinicalTrials.gov/show/NCT02765672"
2248,"Occupational Therapy Driving Intervention for Returning Combat Veterans.","Completed","No Results Available","Traumatic Brain Injury (TBI)|Post Traumatic Stress Disorder (PTSD)","Behavioral: Driving Behavior Interview|Behavioral: Fitness-to-Drive Screening Measure|Other: Clinical Driving Assessment|Behavioral: Propensity for Angry Driving Scale|Behavioral: Community Integration Questionnaire|Behavioral: Satisfaction with Life Questionnaire|Procedure: Driving simulator evaluation|Other: Focus Group Discussion Interview Guide","Malcom Randall VA Medical Center, Gainesville, Florida, United States|University of Florida, Gainesville, Florida, United States","https://ClinicalTrials.gov/show/NCT02764983"
2249,"Treatment of Trauma-Related Anger","Completed","No Results Available","Anger Problems","Behavioral: Cognitive Behavioral Intervention|Behavioral: Supportive Intervention","Providence VA Medical Center, Providence, RI, Providence, Rhode Island, United States","https://ClinicalTrials.gov/show/NCT02157779"
2250,"Evaluating URMC's Massive Transfusion Protocol","Recruiting","No Results Available","Blood Coagulation Disorders|Trauma|Acute Coagulopathy","Other: Blood collection","Strong Hospital at University of Rochester Medical Center, Rochester, New York, United States","https://ClinicalTrials.gov/show/NCT02083549"
2251,"Pea Protein Supplementation and Muscle Damage","Recruiting","No Results Available","Muscular Injury","Dietary Supplement: NUTRALYS pea protein supplement|Dietary Supplement: Whey Protein|Dietary Supplement: Apple juice","Appalachian State University Human Performance Lab, North Carolina Research Campus, Kannapolis, North Carolina, United States","https://ClinicalTrials.gov/show/NCT03448328"
2252,"Anti-oxidant Therapy and Postoperative Cardiac Events (ACE) Trial, Preoperative Intervention in Vascular Surgery","Active, not recruiting","No Results Available","Myocardial Injury","Drug: Ubiquinone|Drug: Placebo","Va Medical Center, Minneapolis, Minnesota, United States","https://ClinicalTrials.gov/show/NCT03956017"
2253,"JAK Inhibition to Prevent Ventilator-induced Diaphragm Dysfunction","Recruiting","No Results Available","Diaphragm Injury","Drug: Tofacitinib 5 mg|Drug: Placebo to match Tofacitinib","Stanford University Medical Center, Stanford, California, United States","https://ClinicalTrials.gov/show/NCT03681275"
2254,"Effectiveness of Distracted Driving Campaign","Unknown status","No Results Available","Trauma Prevention","Behavioral: Video|Behavioral: Power Point|Behavioral: Brochure","Nicklaus Children's Hospital f/k/a Miami Children's Hospital, Miami, Florida, United States","https://ClinicalTrials.gov/show/NCT02437149"
2255,"Biokinetics Study for Tc-99m MDP in Pediatric Molecular Imaging","Enrolling by invitation","No Results Available","Skeletal Injury","Drug: Tc-99M MDP|Other: Modification in acquisition protocol","Boston Children's Hospital, Boston, Massachusetts, United States","https://ClinicalTrials.gov/show/NCT03107247"
2256,"Effectiveness of Pressure Garment Therapy After Burns","Completed","Has Results","Hypertrophic Scarring After Burn Injury","Device: Custom fabricated pressure garments","University of Washington Burn Center, Seattle, Washington, United States","https://ClinicalTrials.gov/show/NCT01005732"
2257,"Targeting Platelet-Leukocyte Aggregates in Pneumonia With Ticagrelor","Completed","No Results Available","Pneumonia|Community Acquired Pneumonia|Hospital Acquired Pneumonia|Acute Lung Injury","Drug: ticagrelor|Drug: placebo","University of Kentucky Hospitals, Lexington, Kentucky, United States|University of Kentucky Hospital, Lexington, Kentucky, United States","https://ClinicalTrials.gov/show/NCT01883869"
2258,"Medihoney and Santyl for Burn Injuries","Terminated","Has Results","Burns","Device: MEDIHONEY® GEL WITH ACTIVE LEPTOSPERMUM HONEY|Device: Santyl","Western Pennsylvania Hospital Burn Center, Pittsburgh, Pennsylvania, United States","https://ClinicalTrials.gov/show/NCT02250183"
2259,"Intravenous Sodium Fluorescein Versus Oral Phenazopyridine for Ureteral Patency","Recruiting","No Results Available","Ureteral Injury","Drug: sodium fluorescein|Drug: phenazopyridine","University Hospitals Cleveland Medical Center, Cleveland, Ohio, United States","https://ClinicalTrials.gov/show/NCT02757417"
2260,"Wound Vac Bandage Comparison After Spinal Fusion","Recruiting","No Results Available","Neuromuscular Scoliosis","Device: Incisional Wound Vac|Other: Standard Bandage","University of Michigan, Ann Arbor, Michigan, United States","https://ClinicalTrials.gov/show/NCT03000010"
2261,"A Study Examining Adolescents With Non-Suicidal Self-Injury","Recruiting","No Results Available","Self-Injurious Behavior|Deliberate Self-Harm",,"Ambulatory Research Center (ARC), Minneapolis, Minnesota, United States|Center for Magnetic Resonance Research, Minneapolis, Minnesota, United States|University of Minnesota, Minneapolis, Minnesota, United States","https://ClinicalTrials.gov/show/NCT02947308"
2262,"Air Fluidized Therapy (AFT) in Patients With Suspected Deep Tissue Injury (sDTI)","Completed","No Results Available","Pressure Ulcers","Device: AFT bed","Harris Methodist Hospital, Ft. Worth, Texas, United States","https://ClinicalTrials.gov/show/NCT01292980"
2263,"Comparison of Vitamin K Doses in Patients With Larger Burn Injuries","Recruiting","No Results Available","Burns","Drug: Vitamin K","Joseph M. Still Burn Center at Doctors Hospital, Augusta, Georgia, United States","https://ClinicalTrials.gov/show/NCT03941535"
2264,"Treating Insomnia & Nightmares After Trauma: Impact on Symptoms & Quality of Life","Completed","No Results Available","Nightmares|Insomnia|Posttraumatic Stress Disorder","Behavioral: PTSD + IRT/CBT-I|Behavioral: PTSD + Supportive Care Therapy","Veterans Affairs San Diego Healthcare System, San Diego, California, United States","https://ClinicalTrials.gov/show/NCT01009112"
2265,"Safety in Seconds 2.0: An App to Increase Car Seat Use","Completed","No Results Available","Injuries","Other: Parent Action Report|Other: Parent Portal","University of Arkansas for Medical Sciences, Little Rock, Arkansas, United States|Johns Hopkins School of Public Health, Baltimore, Maryland, United States","https://ClinicalTrials.gov/show/NCT02345941"
2266,"Lithium Augmentation for Hyperarousal Symptoms of Post Traumatic Stress Disorder: Pilot Study","Withdrawn","No Results Available","Combat Posttraumatic Stess Disorder|Mild Traumatic Brain Injury","Drug: Lithium Carbonate","Denver Veterans Hospital, Denver, Colorado, United States","https://ClinicalTrials.gov/show/NCT01754883"
2267,"Trauma-informed Personalized Scripts (TIPS) for Relationship Abuse","Completed","No Results Available","Violence|Abuse","Behavioral: TIPS-Plus|Behavioral: TIPS-Basic","Children's Hospital of Pittsburgh of UPMC, Pittsburgh, Pennsylvania, United States","https://ClinicalTrials.gov/show/NCT02782728"
2268,"Intestinal Ischemia as a Stimulus for Systemic Inflammatory Response After Cardiac Arrest","Completed","No Results Available","Cardiac Arrest|Reperfusion Injury",,"Virginia Commonwealth University, Richmond, Virginia, United States","https://ClinicalTrials.gov/show/NCT01944605"
2269,"Dose-Response Relationships for Hemidiaphragmatic Paresis Following Ultrasound-Guided Supraclavicular BPB","Completed","No Results Available","Injury of RUE","Diagnostic Test: Ultrasound Imaging|Drug: Supraclavicular Block|Other: Bedside Negative Inspiratory Force Meter","Weill Cornell Medical College, New York, New York, United States","https://ClinicalTrials.gov/show/NCT03138577"
2270,"Improving Learning in Hispanics With TBI or MS","Recruiting","No Results Available","TBI (Traumatic Brain Injury) or MS (Multiple Sclerosis)","Behavioral: Spanish modified Story Memory Technique (mSMT)","Kessler Foundation, East Hanover, New Jersey, United States|Hospital Aita Menni, Arrasate-Mondragón, Spain","https://ClinicalTrials.gov/show/NCT03453125"
2271,"Synthetic and Natural Caffeine on Hemodynamic Parameters in Young, Healthy Volunteers","Suspended","No Results Available","Cardiovascular Injury","Dietary Supplement: Natural Caffeine|Dietary Supplement: Synthetic Caffeine","David Grant Medical Center, Travis Air Force Base, California, United States","https://ClinicalTrials.gov/show/NCT03495063"
2272,"Phase 1/2 Prospective Double-blind, Placebo-controlled Randomized Clinical Trial Using Losartan to Treat Grade II and III Hamstring Strains","Recruiting","No Results Available","Hamstring Injury","Drug: Losartan|Drug: placebo","University of Pittsburgh, Pittsburgh, Pennsylvania, United States","https://ClinicalTrials.gov/show/NCT02263729"
2273,"Preservation of Joint Function Using Postoperative Continuous Passive Motion (CPM) A Pilot Study","Recruiting","No Results Available","Elbow Injury","Procedure: Continuous Passive Motion|Procedure: Physical Therapy","Mayo Clinic in Rochester, Rochester, Minnesota, United States","https://ClinicalTrials.gov/show/NCT01420887"
2274,"Evaluating Fluid Strategies in Thoracic Surgery Patients Utilizing a Goal Directed Approach","Completed","No Results Available","Hypotension|Kidney Injury","Drug: Plasmalyte 3ml/kg/hr group|Drug: Plasmalyte 6ml/kg/hr group","University of Colorado Hospital, Aurora, Colorado, United States","https://ClinicalTrials.gov/show/NCT02135146"
2275,"Aerobic Training for Management of Post-Concussion Syndrome in Adolescents","Completed","No Results Available","Concussion|Post-concussion Syndrome|Sports Injury","Behavioral: Aerobic Training Intervention|Behavioral: Stretching Intervention","Cincinnati Children's Hospital Medical Center, Cincinnati, Ohio, United States","https://ClinicalTrials.gov/show/NCT02035579"
2276,"A Prospective Observational Study to Evaluate Acute Kidney Injury Biomarkers In Patients Receiving First Cycle of Cisplatin Chemotherapy for Head and Neck Cancers","Unknown status","No Results Available","Head and Neck Cancer",,"Harvard Medical School - Brigham and Women's Hospital, Boston, Massachusetts, United States|Dana-Farber Cancer Institute, Boston, Massachusetts, United States|University of Texas MD Anderson, Houston, Texas, United States","https://ClinicalTrials.gov/show/NCT01936376"
2277,"Preventing the Obturator Nerve Reflex","Completed","No Results Available","Bladder Injury","Procedure: Obturator nerve block","Penn State Milton S. Hershey Medical Center, Hershey, Pennsylvania, United States","https://ClinicalTrials.gov/show/NCT01547637"
2278,"Antimicrobial Dressing Versus Standard Dressing in Obese Women Undergoing Cesarean Delivery","Not yet recruiting","No Results Available","Cesarean Section Complications|Wound Breakdown|Wound Infection|Satisfaction|Surgical Wound Infection","Combination Product: ReliaTect™ Post-Op Dressing (contains chlorohexidine gluconate or CHG)|Other: Standard Wound Care","Ashley Salazar, Galveston, Texas, United States","https://ClinicalTrials.gov/show/NCT03887299"
2279,"Kappa Opioid Receptor Imaging in Post-traumatic Stress Disorder (PTSD)","Terminated","No Results Available","Post-traumatic Stress Disorder (PTSD)|Trauma","Other: Positron emission tomography (PET) imaging","NYU School of Medicine, New York, New York, United States","https://ClinicalTrials.gov/show/NCT02237703"
2280,"The Natural History of Injury-Related Disuse Osteopenia","Enrolling by invitation","No Results Available","Osteopenia","Diagnostic Test: dual energy x-ray absorptiometry","Milton S. Hershey Medical Center, Hershey, Pennsylvania, United States","https://ClinicalTrials.gov/show/NCT03868085"
2281,"Orthosis of Acute Traumatic Rib Fractures Via RibFx Belt for Pain Alleviation and Improved Pulmonary Function","Recruiting","No Results Available","Rib Fracture|Rib Fracture Multiple|Trauma|Trauma Chest|Trauma Injury|Trauma, Multiple","Device: RibFx Orthosis Belt","University of Vermont Medical Center, Burlington, Vermont, United States","https://ClinicalTrials.gov/show/NCT03846024"
2282,"Objectively Diagnose and Monitor Treatment of Light Sensitivity","Recruiting","No Results Available","Photophobia|Traumatic Brain Injury|Migraine","Device: Pupillography|Device: Ocular Coherence Tomography (OCT)|Device: Wrist-watch sensor device|Device: Videography|Device: Electrophysiology","University of Iowa Health Care, Iowa City, Iowa, United States","https://ClinicalTrials.gov/show/NCT03694626"
2283,"Comparison of Rapid Thrombelastography and Conventional Coagulation Testing for Haemostatic Resuscitation in Trauma","Completed","Has Results","Acute Coagulopathy","Biological: Blood product transfusion based on conventional coagulation tests.|Biological: Blood product transfusion based on rapid thrombelastography (r-TEG) results.","Denver Health Medical Center, Denver, Colorado, United States","https://ClinicalTrials.gov/show/NCT01536496"
2284,"Safety and Efficacy of SLI-F06 in Wound Healing and Scar Appearance","Recruiting","No Results Available","Scars","Drug: SLI-F06|Drug: Formulation buffer","Site 1, Chicago, Illinois, United States|Site 2, Saint Louis, Missouri, United States|Site 3, Bala-Cynwyd, Pennsylvania, United States","https://ClinicalTrials.gov/show/NCT03880058"
2285,"Renal Transplant Injury and the Renin-Angiotensin System in Kids (RETASK)","Completed","No Results Available","Renal Transplant|Renin-Angiotensin System|Rejection Acute Renal|Rejection Chronic Renal|Rejection of Renal Transplant","Procedure: Renal Transplantation","Wake Forest University Baptist Medical Center, Winston-Salem, North Carolina, United States","https://ClinicalTrials.gov/show/NCT03317925"
2286,"The Effects of Nutrition Supplementation and Education on the Healing of Diabetic Foot Ulcer (DFU)","Completed","No Results Available","Diabetic Foot Ulcer","Dietary Supplement: glucose control nutritional shake, nutrition education","Florida State University, Tallahassee, Florida, United States","https://ClinicalTrials.gov/show/NCT04055064"
2287,"Evaluation of the Efficacy of Sodium Oxybate (Xyrem®) in Treatment of Post-traumatic Narcolepsy and Post-traumatic Hypersomnia","Recruiting","No Results Available","Hypersomnia|Narcolepsy|Traumatic Brain Injury","Drug: Sodium Oxybate Oral Solution [Xyrem]","Brigham and Women's Hospital, Boston, Massachusetts, United States","https://ClinicalTrials.gov/show/NCT03626727"
2288,"Screening in Trauma for Opioid Misuse Prevention","Active, not recruiting","No Results Available","Opioid Use Disorder","Other: Opioid risk screen development & implementation","University of Wisconsin - Madison, Madison, Wisconsin, United States","https://ClinicalTrials.gov/show/NCT02861976"
2289,"MRI and Neurodevelopment in Preterm Infants Following Administration of High-Dose Caffeine","Completed","Has Results","Apnea of Prematurity|Intraventricular Hemorrhage|Brain Injury","Drug: Caffeine citrate","St. Louis Children's Hospital, St. Louis, Missouri, United States","https://ClinicalTrials.gov/show/NCT00809055"
2290,"Adhesive Tape Trauma Evaluation of a New Gentle Tape in Healthy Infant Subjects","Completed","No Results Available","Skin (FLACC Scores of Test Subjects) After Tape Removal","Device: Multi-Purpose Gentle Tape","cyberDERM, inc., Broomall, Pennsylvania, United States","https://ClinicalTrials.gov/show/NCT03470012"
2291,"Preventing Long Term Psychiatric Disability Among Those With Major Burn Injuries","Completed","No Results Available","Stress Disorders, Post-Traumatic|Mood Disorders|Sleep Disorders","Behavioral: Cognitive Behavioral Therapy|Behavioral: Supportive Counseling","Johns Hopkins Burn Center, Baltimore, Maryland, United States","https://ClinicalTrials.gov/show/NCT00988104"
2292,"Diabetic Foot Ulcer Study Comparing Cytal Wound Matrix 1-Layer to Standard of Care","Recruiting","No Results Available","Diabetes|Diabetic Foot|Diabetes Mellitus, Type 2|Diabetes Mellitus, Type 1","Device: Cytal Wound Matrix 1-Layer|Other: Standard of Care (SOC)","Limb Preservation Platform, Inc., Fresno, California, United States|Louisiana State University Health Science Center (LSUHSC), New Orleans, Louisiana, United States|MedStar Health Research Institute, Hyattsville, Maryland, United States","https://ClinicalTrials.gov/show/NCT03626623"
2293,"Randomized Clinical Trial of Imagery Rescripting Treatment In Veterans With Trauma-Related Nightmares And Posttraumatic Stress Disorder (PTSD)","Terminated","No Results Available","Stress Disorders, Post-Traumatic|Sleep Disorders","Behavioral: Veteran Nightmare Treatment|Behavioral: Treatment-as-usual","Michael E. DeBakey VA Medical Center (152), Houston, Texas, United States","https://ClinicalTrials.gov/show/NCT00837109"
2294,"Evaluation of Ureteral Jets on Cystoscopy","Completed","Has Results","Injury of Ureter","Drug: Normal saline|Drug: Phenazopyridine|Drug: Dextrose 10%|Drug: Sodium Fluorescein","Cleveland Clinic Florida, Weston, Florida, United States","https://ClinicalTrials.gov/show/NCT02476448"
2295,"Remediation of Spatial Neglect Trial","Completed","No Results Available","Stroke|Acquired Brain Injury|Hemispatial Neglect","Other: Computerized Plasticity-based Adaptive Cognitive Training|Other: Commercially available computerized training","Washington University School of Medicine, Saint Louis, Missouri, United States","https://ClinicalTrials.gov/show/NCT01965951"
2296,"MR Guided Focused Ultrasound for Treatment of Neuropathic Pain","Recruiting","No Results Available","Severe Neuropathic Pain Due to Radiculopathy or Radicular Injury|Spinal Cord Injuries|Phantom Limb Pain","Device: Experimental: ExAblate Transcranial treatment","University of Maryland School of Medicine and University of Maryland Medical Systems, Baltimore, Maryland, United States","https://ClinicalTrials.gov/show/NCT03111277"
2297,"4-aminopyridine Treatment for Nerve Injury","Not yet recruiting","No Results Available","Prostate Cancer","Drug: 4-Aminopyridine|Other: Placebo","University of Rochester Department of Urology, Rochester, New York, United States","https://ClinicalTrials.gov/show/NCT03701581"
2298,"Myocardial Injury Following Elective Direct Current Cardioversion for Atrial Arrhythmias","Recruiting","No Results Available","Cardioversion","Diagnostic Test: Blood sample collection","Mayo Clinic in Rochester, Rochester, Minnesota, United States","https://ClinicalTrials.gov/show/NCT04151966"
2299,"Restoring High Dimensional Hand Function to Persons With Chronic High Tetraplegia","Recruiting","No Results Available","Spinal Cord Injuries|Tetraplegia|Quadriplegia","Device: Using the Neuroport cortical recording array to determine the desired grasp pattern for a functional electrical stimulation (FES) system","Louis Stokes VA Medical Center, Cleveland, OH, Cleveland, Ohio, United States","https://ClinicalTrials.gov/show/NCT03482310"
2300,"The Role of Cerebral Oximetry in Pediatric Concussion Assessment","Terminated","No Results Available","Concussion, Brain|Concussion, Mild|Traumatic Brain Injury",,"Johns Hopkins University Pediatric Emergency Medicine, Baltimore, Maryland, United States","https://ClinicalTrials.gov/show/NCT02036333"
2301,"Biomarkers of Injury and Destruction in the Cystic Fibrosis Lung","Completed","No Results Available","Cystic Fibrosis",,"University of Minnesota, Minneapolis, Minnesota, United States","https://ClinicalTrials.gov/show/NCT01805713"
2302,"Lymphedema Treatment for Blunt Facial Trauma","Unknown status","No Results Available","Post-traumatic Facial Edema","Other: Complete Decongestive Therapy (CDT)","Our Lady of the Lake Regional Medical Center, Baton Rouge, Louisiana, United States","https://ClinicalTrials.gov/show/NCT02977182"
2303,"Leveraging Implementation Science to Increase Access to Trauma Treatment for Incarcerated Drug Users","Not yet recruiting","No Results Available","Substance Use Disorders|Drug Abuse|Alcohol Abuse|Posttraumatic Stress Disorder|PTSD|Recidivism|Depression","Behavioral: Cognitive Processing Therapy|Behavioral: Control Group","Northeast Arkansas Community Correction Center (NEACCC), Osceola, Arkansas, United States|East Central Arkansas Community Correction Center (ECACCC), West Memphis, Arkansas, United States","https://ClinicalTrials.gov/show/NCT04007666"
2304,"A Single Session Pain Psychology Class for Spine Surgery Patients","Enrolling by invitation","No Results Available","Lumbar; Injury","Behavioral: Trek for Surgical Success","Cleveland Clinic Foundation, Cleveland, Ohio, United States","https://ClinicalTrials.gov/show/NCT03985436"
2305,"Depression, Trauma, and Health: Efficacy of an mHealth App for Symptom Self-Management in College Students","Not yet recruiting","No Results Available","Depression","Device: Happify Breather App","Donna L. Schuman, Lexington, Kentucky, United States","https://ClinicalTrials.gov/show/NCT04094792"
2306,"Clinical Trial of New Elastomer for Maxillofacial Prosthetics","Completed","No Results Available","Facial Neoplasms|Head and Neck Neoplasms|Head Injuries, Penetrating|Birth Injuries","Combination Product: Chlorinated polyethylene elastomer","University of Louisville, Louisville,, Kentucky, United States","https://ClinicalTrials.gov/show/NCT00123097"
2307,"Algorithmic-Based Evaluation and Treatment Approach for Robotic Gait Training","Recruiting","No Results Available","Complete Spinal Cord Injury|Incomplete Spinal Cord Injury|Acquired Brain Injury|Multiple Sclerosis","Device: ReWalk|Device: EKSO|Device: REX","TIRR Memorial Hermann, Houston, Texas, United States","https://ClinicalTrials.gov/show/NCT03057652"
2308,"Structural Brain Abnormalities in Children Born Prematurely: New Detection Methods and Clinical-Pathological Correlates","Terminated","No Results Available","Infant, Premature|Brain Injuries",,"Children's Hospital Boston, Boston, Massachusetts, United States|Children's Mercy Hospital, Kansas City, Missouri, United States|Children's Hospital of Philadelphia, Philadelphia, Pennsylvania, United States","https://ClinicalTrials.gov/show/NCT00153855"
2309,"Endothelial Injury and Development of Coronary Intimal Thickening After Heart Transplantation","Terminated","No Results Available","Cardiac Allograft Vasculopathy|Antibody Mediated Rejection","Device: Optical Coherence Tomography|Drug: Acetylcholine|Procedure: Brachial Artery Flow Mediated Dilation","University of Pittsburgh Medical Center, Pittsburgh, Pennsylvania, United States","https://ClinicalTrials.gov/show/NCT01848301"
2310,"Postoperative Acute Myocardial Ischemic Injury","Terminated","No Results Available","Myocardial Infarction","Device: VectraplexECG System with CEB®","Cleveland Clinic, Cleveland, Ohio, United States","https://ClinicalTrials.gov/show/NCT02993263"
2311,"Arginine in Treating Patients With Anti-VEGF Induced Kidney Injury","Withdrawn","No Results Available","Drug-Induced Nephropathy|Hypertension|Proteinuria","Dietary Supplement: Arginine|Drug: Placebo","M D Anderson Cancer Center, Houston, Texas, United States","https://ClinicalTrials.gov/show/NCT02882373"
2312,"CEUS Evaluation of Hypoxic Ischemic Injury","Recruiting","No Results Available","Hypoxic-Ischemic Encephalopathy|Brain Ischemia Hypoxia","Drug: Sulfur hexafluoride lipid-type A microspheres","The Children's Hospital of Philadelphia, Philadelphia, Pennsylvania, United States","https://ClinicalTrials.gov/show/NCT03549520"
2313,"Glomerular Injury of Preeclampsia","Completed","No Results Available","Pre-Eclampsia","Drug: L-Arginine Supplementation","Stanford University Medical Center, Stanford, California, United States","https://ClinicalTrials.gov/show/NCT00275158"
2314,"Brain Markers of Improvements in Cognitive Functioning","Completed","No Results Available","TBI (Traumatic Brain Injury)|Brain Injuries|Stress|Attention Deficit|Executive Dysfunction","Behavioral: State regulation skill training|Other: Treatment-as-usual","VA Northern California Health Care System, Mather, CA, Sacramento, California, United States","https://ClinicalTrials.gov/show/NCT03490110"
2315,"A Low ChloridE hyperTonic Solution for Brain Edema","Completed","No Results Available","Subarachnoid Hemorrhage|Acute Kidney Injury","Drug: Sodium chloride /sodium acetate (16.4%)|Drug: Sodium chloride (23.4%)|Drug: PlasmaLyte","Emory University Hospital's Neurointensive Care Unit, Atlanta, Georgia, United States","https://ClinicalTrials.gov/show/NCT03204955"
2316,"Neuromodulation and Neurorehabilitation for mTBI Plus PTSD","Recruiting","No Results Available","Mild Traumatic Brain Injury|Post Traumatic Stress Disorder","Device: real iTBS|Behavioral: real APT|Behavioral: placebo APT|Device: placebo iTBS","Northwestern University, Chicago, Illinois, United States|Edward Hines, Jr. VA Hospital, Hines, Illinois, United States","https://ClinicalTrials.gov/show/NCT03819608"
2317,"Myocardial Injury in Patients With Cardiac Implantable Electronic Devices Following Magnetic Resonance Imaging","Recruiting","No Results Available","Magnetic Resonance Imaging (MRI)","Diagnostic Test: Blood sample collection","Mayo Clinic in Rochester, Rochester, Minnesota, United States","https://ClinicalTrials.gov/show/NCT04151953"
2318,"Acupressure and Stress Resilience","Completed","No Results Available","Post-traumatic Stress Disorder (PTSD)|Mild Traumatic Brain Injury (mTBI)","Other: Active Acupressure Treatment|Other: Placebo Acupressure Treatment","Denver VAMC, Denver, Colorado, United States","https://ClinicalTrials.gov/show/NCT01614444"
2319,"Neutrophil Phenotypic Profiling and Organ Injury Assessment in Patients With Sepsis","Not yet recruiting","No Results Available","Sepsis","Other: sepsis","Boston Children's Hospital, Boston, Massachusetts, United States","https://ClinicalTrials.gov/show/NCT04103268"
2320,"Incidence OIRD Medical and Trauma Patients","Enrolling by invitation","No Results Available","Respiratory Depression|Sedation",,"Community Regional Medical Center, Fresno, California, United States","https://ClinicalTrials.gov/show/NCT03948880"
2321,"Firearm Storage Device Distribution to Families of Children With Mental Health Complaints","Active, not recruiting","No Results Available","Mental Health Disorders|Suicide or Selfinflicted Injury by Firearms and Explosives","Behavioral: Free safe firearm storage device distribution|Behavioral: Low cost safe firearm storage device","Seattle Children's, Seattle, Washington, United States","https://ClinicalTrials.gov/show/NCT03386409"
2322,"4-aminopyridine Treatment for Nerve Injury From Radical Retro-Pubic Prostatectomy","Withdrawn","No Results Available","Prostate Disease","Drug: 4-aminopyridine|Drug: placebo","University of Rochester Medical Center, Rochester, New York, United States","https://ClinicalTrials.gov/show/NCT03658408"
2323,"Signatures of N-Ac for Non-Suicidal Self-Injury in Adolescents","Recruiting","No Results Available","Self-Harm|Depression|Suicide","Drug: N-acetyl cysteine|Drug: Placebo oral tablet","University of Minnesota, Minneapolis, Minnesota, United States","https://ClinicalTrials.gov/show/NCT04005053"
